[Tue, 26 Jan 16 16:19:22 +0100][INFO] SELECT IF(COUNT(*) > 0, 1, 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME` = 'profiles' AND `TABLE_SCHEMA` = DATABASE()
[Wed, 27 Jan 16 09:27:02 +0100][INFO] SELECT IF(COUNT(*) > 0, 1, 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME` = 'profiles' AND `TABLE_SCHEMA` = DATABASE()
[Wed, 27 Jan 16 10:43:02 +0100][INFO] SELECT IF(COUNT(*) > 0, 1, 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME` = 'profiles' AND `TABLE_SCHEMA` = DATABASE()
[Wed, 27 Jan 16 15:06:37 +0100][INFO] SELECT IF(COUNT(*) > 0, 1, 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME` = 'profiles' AND `TABLE_SCHEMA` = DATABASE()
[Wed, 27 Jan 16 17:14:46 +0100][INFO] SELECT IF(COUNT(*) > 0, 1, 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME` = 'profiles' AND `TABLE_SCHEMA` = DATABASE()
[Wed, 27 Jan 16 17:14:46 +0100][INFO] DESCRIBE `profiles`
[Wed, 27 Jan 16 17:14:46 +0100][INFO] SELECT `profiles`.`uid`, `profiles`.`pid`, `profiles`.`tstamp`, `profiles`.`crdate`, `profiles`.`cruser_id`, `profiles`.`deleted`, `profiles`.`hidden`, `profiles`.`title` FROM `profiles` WHERE `profiles`.`deleted` = 0 AND `profiles`.`hidden` = 0
[Wed, 27 Jan 16 17:14:46 +0100][INFO] SELECT IF(COUNT(*) > 0, 1, 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME` = 'permissions' AND `TABLE_SCHEMA` = DATABASE()
[Wed, 27 Jan 16 17:14:46 +0100][INFO] DESCRIBE `permissions`
[Wed, 27 Jan 16 17:14:46 +0100][INFO] SELECT `permissions`.`uid`, `permissions`.`pid`, `permissions`.`tstamp`, `permissions`.`crdate`, `permissions`.`cruser_id`, `permissions`.`deleted`, `permissions`.`hidden`, `permissions`.`profileid`, `permissions`.`resourceid`, `permissions`.`resourceaction` FROM `permissions` WHERE `permissions`.`profileid` = :APR0
[Wed, 27 Jan 16 17:14:46 +0100][INFO] SELECT IF(COUNT(*) > 0, 1, 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME` = 'resources' AND `TABLE_SCHEMA` = DATABASE()
[Wed, 27 Jan 16 17:14:46 +0100][INFO] DESCRIBE `resources`
[Wed, 27 Jan 16 17:14:46 +0100][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :APL0
[Wed, 27 Jan 16 17:14:46 +0100][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :APL0
[Wed, 27 Jan 16 17:14:46 +0100][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :APL0
[Wed, 27 Jan 16 17:14:46 +0100][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :APL0
[Wed, 27 Jan 16 17:14:46 +0100][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :APL0
